rut, nombre, sexo, edad, tipo
12170531-1, Imelda Rubio Calderón, hombre, 32,repartidor	
10408298-k, Cloe Nicolau Lucena,mujer,31,repartidor
5343473-8, Ana Sofía Ariel Redondo Bellido,mujer,25,repartidor	
11149879-2,	Ciríaco Cortés Sola,hombre,67,administrativo
6596213-6,	Jose Manuel,mujer,85,administrativo
16923391-8,	Lupita Reig,mujer,72,administrativo
5530933-7,	Olga de Casado,hombre,79,administrativo
6596392-2,	Nazaret Celia,mujer,95,administrativo
20706806-3,	Bruno Quiroga,hombre,39,repartidor
5900802-1,Angelino Carrera,hombre,16,repartidor
16418508-7,	Jacobo Rozas Tamarit,hombre, 29,repartidor
5760662-2,	Emiliano Álvarez Cordero,hombre,42,repartidor
16527183-1,	Cecilia Flores Carpio,mujer,64,repartidor
8170988-2,	Ainoa Seco Izquierdo,mujer,74,repartidor
6068148-1, Maximino Álvarez,mujer,73,repartidor
12608295-9,	Xiomara Zaira Arroyo Samper,hombre,76,repartidor
24248687-0,	Lalo Lara Bautista,mujer,86,repartidor
12040026-6,	Ximena Ignacia Poza Villaverde,hombre,44,repartidor
19413777-k,	Etelvina Cisneros Camino,hombre,51,repartidor
16467811-3, Lisandro Gilabert Berenguer,mujer,16,repartidor
