rut,vehículo,tipo_licencia
53511335-1,52,auto
44770429-3,58,auto
38895795-6,63,moto
53234460-3,82,no es necesaria
66714421-3,56,auto
21672114-4,15,moto
99116865-6,31,auto
48459253-5,12,auto
80438756-0,96,no es necesaria
36304600-2,111,moto
38578737-5,92,moto
44840159-6,82,no es necesaria
46930527-9,65,vehiculo de carga
91957637-5,18,auto
54801563-4,28,auto
85743167-7,34,no es necesaria
16315937-6,16,no es necesaria
36692442-6,86,vehiculo de carga
91995839-1,53,no es necesaria
44060880-9,53,no es necesaria
27003910-3,114,auto
87548946-1,46,auto
23047484-2,108,no es necesaria
63699218-6,99,auto
92390198-1,24,moto
56474633-9,9,moto
69822376-6,38,auto
58366562-5,11,moto
25919808-9,66,auto
66199699-4,112,no es necesaria
97404549-4,33,auto
88667817-7,86,vehiculo de carga
20467855-3,23,vehiculo de carga
70733075-9,109,auto
57041868-8,39,auto
42678415-7,41,auto
86367440-9,21,no es necesaria
13993032-0,89,moto
25919808-9,111,moto
78156640-3,26,vehiculo de carga
77785207-8,43,auto
75020925-4,27,moto
37117213-0,91,moto
36304600-2,92,moto
33298524-8,7,auto
56930255-2,10,moto
98296705-8,108,no es necesaria
45273848-1,100,auto
41266992-4,7,auto
16836029-0,21,no es necesaria
53747213-8,65,vehiculo de carga
28673876-1,59,auto
17167867-6,11,moto
51827744-8,112,no es necesaria
44604413-3,97,moto
76160177-6,49,vehiculo de carga
87244280-4,43,auto
39043389-1,63,moto
64063874-5,23,vehiculo de carga
14885951-5,45,no es necesaria
44604413-3,4,auto
53747213-8,82,no es necesaria
14197251-0,80,moto
67609462-8,23,vehiculo de carga
32153494-5,98,moto
96735305-1,38,auto
30775222-0,98,moto
25609460-6,103,auto
96828461-4,25,auto
10537138-1,80,moto
15286948-7,72,moto
46088353-9,84,auto
33006349-1,109,auto
80438756-0,98,moto
19142189-2,103,auto
31194216-6,7,auto
10619372-k,65,vehiculo de carga
67629255-1,74,no es necesaria
66398573-6,93,auto
79029236-7,114,auto
43123228-6,74,no es necesaria
46787382-2,59,auto
64269343-3,62,no es necesaria
83131309-9,85,auto
38578737-5,50,no es necesaria
25198755-6,77,auto
34776869-3,17,vehiculo de carga
60139069-8,73,auto
66478458-0,59,auto
80308047-k,61,moto
11341475-8,64,auto
86819507-k,83,vehiculo de carga
80228379-2,14,auto
45026733-3,58,auto
86819507-k,25,auto
55994808-k,79,moto
38317707-3,14,auto
51093069-k,114,auto
83330704-5,80,moto
92386054-1,46,auto
10254486-2,75,auto
10619776-8,48,moto
77020926-9,93,auto
68903163-3,79,moto
82270937-0,68,vehiculo de carga
27183294-k,3,moto
44749202-4,14,auto
63968995-6,35,no es necesaria
38895795-6,58,auto
36205098-7,17,vehiculo de carga
85516291-1,46,auto
30991735-9,76,moto
92244003-4,33,auto
89200986-4,56,auto
53609901-8,11,moto
12673702-5,43,auto
93433032-3,51,auto
88408240-4,92,moto
35480818-8,89,moto
38717290-4,81,auto
96863860-2,26,vehiculo de carga
64063874-5,105,auto
83469143-4,14,auto
39006777-1,7,auto
66398573-6,50,no es necesaria
41704207-5,46,auto
56350683-0,46,auto
13592940-9,43,auto
40597717-6,46,auto
84729190-7,70,vehiculo de carga
38100857-6,70,vehiculo de carga
90007582-0,32,auto
32211035-9,46,auto
93635199-9,104,no es necesaria
53281073-6,55,auto
12460058-8,95,auto
79861684-6,70,vehiculo de carga
31459690-0,82,no es necesaria
99223381-8,109,auto
55012555-2,104,no es necesaria
99937169-8,70,vehiculo de carga
13890944-1,9,moto
18454632-9,48,moto
59137080-4,45,no es necesaria
46088353-9,33,auto
33802463-0,66,auto
41325900-2,6,no es necesaria
53171533-0,31,auto
10254486-2,100,auto
14408869-7,66,auto
20026905-5,58,auto
77366538-9,17,vehiculo de carga
83131309-9,102,auto
64651214-k,9,moto
34012878-8,4,auto
81955785-3,85,auto
44290962-8,115,vehiculo de carga
96213582-k,58,auto
69186141-4,10,moto
